accession_number,image_file,caption,section,appendix,source_page,image_status,notes
1902.52.1,1902.52.1_1.png,Wooden crossbow stock,3.3,Appendix 5,179,available,
1907.66.1,1907.66.1_1.png,Brass plaque with relief decoration depicting three human figures,2.16,Appendix 4,100,available,
1908.41.3,1908.41.3.png,Brass plaque with relief decoration depicting a serpent,2.8,Appendix 4,102,available,
1908.65.1,1908.65.1.png,Brass plaque with relief decoration depicting a leopard skin,2.4,Appendix 4,103,available,
1909.1.1,1909.1.1_1.png,Ivory tusk pendant carved with representation of standing figure of an oba,2.8,Appendix 4,104,available,
1909.1.2,1909.1.2.png,Bronze staff,2.8,Appendix 4,105,available,
1909.11.1.1|1909.11.1.2,1909.11.1.1_1.png,Wooden box lid,2.12,Appendix 4,106,available,Combined image for both accession numbers
1909.61.1,1909.61.1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,107,available,
1909.61.2,1909.61.2.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,108,available,
1909.61.3,1909.61.3.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,109,available,
1909.61.4,1909.61.4.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,110,available,
1909.61.5,1909.61.5_1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,111,available,
1909.61.6,1909.61.6.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,112,available,
1909.61.7,1909.61.7.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.6,Appendix 4,113,available,
1909.67.22,1909.67.22.png,Bronze bracelet,1.2,Appendix 5,180,available,
1909.67.25,1909.67.25.png,Pair of bronze anklets,1.2,Appendix 5,181,available,Source page label shows 1909.67.25 and 1909.67.26 together
1909.67.26,1909.67.25.png,Pair of bronze anklets,1.2,Appendix 5,181,available,Same image as 1909.67.25
1909.67.33,1909.67.33.png,Bronze lampstand,1.2,Appendix 5,182,available,
1909.67.35,1909.67.35.png,String of crotals,1.2,Appendix 5,183,available,
1909.67.36,1909.67.36.png,String of crotals,1.2,Appendix 5,184,available,
1917.2.13,1917.2.13.png,Bronze face pendant,2.17,Appendix 4,114,available,
1917.38.1,1917.38.1_1.png,Bronze bell,2.14,Appendix 4,115,available,
1917.38.2,1917.38.2.png,Bronze bells,2.14,Appendix 4,116,available,Composite image showing multiple bells
1922.67.1,1922.67.1.png,Crossbow,3.5,Appendix 5,185,available,
1923.2.1,1923.2.1.png,Sword,3.5,Appendix 5,186,available,Shared page with 1934.46.3 and 1938.31.27
1932.88.863,1932.88.863.png,Brass object,2.5,Appendix 4,117,available,
1932.88.864,1932.88.864_1.png,Brass vessel with iron carrying frame,2.15,Appendix 4,118,available,
1934.46.3,1923.2.1.png,Wooden staff or club,3.6,Appendix 5,186,available,Shared page image block with 1923.2.1
1938.31.27,,,3.7,Appendix 5,186,no_image,Page explicitly says NO IMAGE CURRENTLY AVAILABLE
1938.34.94,1938.34.94_1.png,Ivory tusk,2.18,Appendix 4,119,available,
1941.2.117,1941.2.117.png,Bronze bell,2.9,Appendix 4,120,available,
1941.2.118,1941.2.118.png,Bronze bell,2.9,Appendix 4,121,available,
1941.2.119,1941.2.119.png,Bronze bell,2.9,Appendix 4,122,available,
1941.2.124,1941.2.124.png,Wooden staff finial,2.9,Appendix 4,123,available,
1946.6.80,1946.6.80_1.png,Brass bell fragment,2.19,Appendix 4,124,available,
1965.9.1 B,1965.9.1.png,Leopard mask,2.7,Appendix 4,125,available,Page label includes 'and illustration in Appendix 3'
1966.13.1,1966.13.1_1.png,Pitt-Rivers catalogue card showing bronze head,2.7,Appendix 3,51,available,Page 51 also includes 1975.7.1
1966.13.1,1966.13.1_2.png,Bronze head,2.7,Appendix 3,126,available,
1967.45.1,1967.45.1.png,Terracotta head,1.2,Appendix 5,187,available,
1970.16.1,1970.16.1.png,Group of heads,3.8,Appendix 5,188,available,
1975.7.1,1975.7.1.png,Figure,2.7,Appendix 3,127,available,Page 51 includes Pitt-Rivers catalogue card for same accession
1975.7.2,1975.7.2_1.png,Pitt-Rivers catalogue card showing cylindrical metal box,2.7,Appendix 3,52,available,Page 52 also includes 1988.11.1-2
1975.7.2,1975.7.2_2.png,Cylindrical metal box,2.7,Appendix 3,128,available,
1979.8.1,1979.8.1.png,Brass stool,2.20,Appendix 4,129,available,
1980.19.1,1980.19.1.png,Animal figure finial,2.21,Appendix 4,130,available,Label on image reads Nigeria
1983.25.1,1983.25.1.png,Bronze head pendant,2.11,Appendix 4,131,available,
1983.25.2,1983.25.2_1.png,Bronze head pendant,2.11,Appendix 4,132,available,
1983.25.3,1983.25.3.png,Bronze head pendant,2.11,Appendix 4,133,available,
1988.11.1,1988.11.1.png,Comb,2.7,Appendix 3,134,available,Page note says 'and illustrations in Appendix 3'
1988.11.2,1988.11.2_1.png,Double comb,2.7,Appendix 3,135,available,Row on page 52 labels combined Pitt-Rivers record as 1988.11.1-2
1991.13.1,1991.13.1_3.png,Carved tusks (1991.13.1 and 1991.13.2 shown together),2.2,,136,available,Single page shows both 1991.13.1 and 1991.13.2
1991.13.2,1991.13.1_3.png,Carved tusks (1991.13.1 and 1991.13.2 shown together),2.2,,136,available,Single page shows both 1991.13.1 and 1991.13.2
1991.13.3,1991.13.3.png,Ceremonial blade,2.2,,137,available,"Page 137 also includes 1991.13.4, which is not separately extracted here"
1991.13.5,1991.13.5.png,Carved object with face,2.2,,138,available,
1991.13.6,1991.13.6.png,Pedestal bowl,2.2,,139,available,
1991.13.7,1991.13.7.png,Ivory stand or base,2.2,,140,available,
1991.13.8,1991.13.8.png,Plaque with three figures,2.2,,141,available,
1991.13.9,1991.13.9.png,Carved ivory object,2.2,,142,available,
1991.13.10.1,1991.13.10.1.png,Decorated vessel or lid component,2.2,,143,available,
1991.13.10.2,1991.13.10.2.png,Decorated vessel shown open,2.2,,144,available,
1991.13.11,1991.13.11.png,Square carved block or base,2.2,,145,available,
1991.13.12,1991.13.12.png,Decorated cylindrical vessel,2.2,,146,available,
1991.13.13,1991.13.13.png,Ridged cylindrical vessel,2.2,,147,available,
1991.13.14,1991.13.14.png,Decorated cylindrical vessel,2.2,,148,available,
1991.13.15,1991.13.15_1.png,Decorated cylindrical vessel,2.2,,149,available,
1991.13.16,1991.13.16.png,Carved ring-shaped object,2.2,,150,available,
1991.13.17.1|1991.13.17.2,1991.13.17.1.png,Net-covered ceremonial object,2.2,,151,available,
1991.13.18,1991.13.18.png,Pair of curved blades,2.2,,152,available,
1991.13.19,1991.13.19.png,Pair of curved blades,2.2,,153,available,
1991.13.20,1991.13.20.png,Carved tusk or horn,2.2,,154,available,
1991.13.21,1991.13.21.png,Conical decorated metal object,2.2,,155,available,
1991.13.22,1991.13.22.png,Conical decorated metal object,2.2,,156,available,
1991.13.23,1991.13.23.png,Conical decorated metal object,2.2,,157,available,
1991.13.24,1991.13.24.png,Conical decorated metal object,2.2,,158,available,
1991.13.25,1991.13.25.png,Figural shrine or altar group,2.2,,159,available,
1991.13.26,1991.13.26.png,Carved cylindrical vessel,2.2,,160,available,
1991.13.27.1|1991.13.27.2,1991.13.27.1.png,Carved cylindrical container,2.2,,161,available,
1991.13.28,1991.13.28.png,Decorated tapering metal object,2.2,,162,available,
1991.13.32,1991.13.32.png,Linked bracelet or anklet with bells,2.2,,163,available,
1991.13.33,1991.13.33.png,Linked bracelet or anklet with bells,2.2,,164,available,
1991.13.34,1991.13.34.png,Segmented ring or bracelet,2.2,,165,available,
1991.13.35,1991.13.35.png,Circular metal object with projecting studs,2.2,,166,available,
1991.13.36,1991.13.36.png,Figural bell or pendant,2.2,,167,available,
1991.13.37,1991.13.37.png,Long wooden rod or staff,2.2,,168,available,
1991.13.38,1991.13.38_1.png,Carved domed object with projecting elements,2.2,,169,available,
1991.13.39,1991.13.39.png,Decorated staff or spear with metal tip,2.2,,170,available,
1991.13.40,1991.13.40.png,Elongated bead or spindle-shaped object,2.2,,171,available,
1991.13.42,1991.13.42.png,Elongated bead or spindle-shaped bead,2.2,,172,available,
1991.16.1,1991.16.1_1.png,Bronze head,1.2,,189,available,
1992.20.1,1992.20.1.png,Standing brass figure holding staff,1.2,,190,available,
1995.1.2,1995.1.2.png,Small brass figure,1.2,,191,available,
2011.21.1,,No image currently available,1.2,,192,no_image,No image shown on page
2012.103.11,,Rectangular bronze plaque with fish motifs,3.9,,192,missing,Image shown on page but standalone file not supplied
2012.103.12,2012.103.12.png,Rectangular bronze plaque with fish motif,3.9,,193,available,
2012.103.13,2012.103.13_1.png,Rectangular bronze plaque with three standing figures,3.9,,194,available,
