accession_number,title,description,provenance,provenance_detail,section,publication_notes,status,description_source_page,primary_image_file,primary_image_caption,image_appendix,image_source_page,image_status,image_count,has_description,has_image,matched
1899.86.13,,Bronze foot broken from a figure,Stevens Auction Rooms,Purchased by the Pitt Rivers Museum at Stevens Auction Rooms 4 Dec 1899. See discussion in Section 2.4,2.4,,confirmed_1897,32,1899.86.13.png,Bronze foot broken from a figure,Appendix 4,56,available,1,true,true,true
1900.1.4,,Wooden sansa-type musical instrument,Stevens Auction Rooms,Purchased by Cuthbert Edgar Peek at Stevens Auction Rooms 13 February 1900 and donated by him to the Pitt Rivers Museum in 1900. See discussion in Section 2.4,2.4,Indexed in Dark 1982 as B9/25,confirmed_1897,32,1900.1.4.png,Wooden sansa-type musical instrument,Appendix 4,57,available,1,true,true,true
1900.1.5,,Wooden sansa-type musical instrument,Stevens Auction Rooms,Purchased by Cuthbert Edgar Peek at Stevens Auction Rooms 13 February 1900 and donated by him to the Pitt Rivers Museum in 1900. See discussion in Section 2.4,2.4,Indexed in Dark 1982 as B9/26,confirmed_1897,32,1900.1.5.png,Wooden sansa-type musical instrument,Appendix 4,58,available,1,true,true,true
1900.1.7,,Model / object photographed in Appendix 5,,,3.2,Backfilled from artifact image page; image says 'See discussion in Section 3.2',possible_1897,178,1900.1.7.png,Model / object photographed in Appendix 5,Appendix 5,178,available,1,true,true,true
1900.32.4,,String of cylindrical coral beads,possibly from a ceremonial fly-whisk,Pitt-Rivers Museum,"Donated per Harold St George Gray in September 1900, after General Pitt-Rivers’ death. Probably split from a necklace recorded as figure 229 in Pitt-Rivers 1900. See discussion in Section 2.7",2.7,"probably shown in pitt-rivers second collection catalogue vol 5, p. 1741; probably reproduced in pitt-rivers 1900: figure 229",confirmed_1897,1900.32.4_2.png,"String of cylindrical coral beads, possibly from a ceremonial fly-whisk",Appendix 4,59,available,1,true,true,true
1900.39.1,,Brass relief plaque depicting a human figure,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Listed in Dark 1982 on p. 2.1.32 as B8/68; Listed in Gunsch 2018, p. 227",confirmed_1897,32,1900.39.1.png,Brass relief plaque depicting a human figure,Appendix 4,60,available,1,true,true,true
1900.39.2,,Brass relief plaque depicting a fish,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Listed in Dark 1982 on p. 2.1.32 as B8/62; Listed in Gunsch 2018, p. 227",confirmed_1897,33,1900.39.2_1.png,Brass relief plaque depicting a fish,Appendix 4,61,available,1,true,true,true
1900.39.3,,Brass sculpture or altar-piece in the form of a morion-shaped helmet,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.33 as B9/45,confirmed_1897,33,1900.39.3.png,Brass sculpture or altar-piece in the form of a morion-shaped helmet,Appendix 4,62,available,1,true,true,true
1900.39.4,,Brass ceremonial casket with a cover and chain for suspension with relief decoration and chased work,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was looted by Felix Ling Roth during the 1897 attack. See discussion in Section 2.3",2.3,"Reproduced in Ling Roth 1903, pp. 227-28, figures 264, 265 and 266; reproduced in von Luschan 1919, p. 421, figure 655; listed in Dark 1982 on p. 2.1.32 as B8/69; reproduced in Mowat 1991 on p. 22 as figure 20",confirmed_1897,33,1900.39.4.png,Brass ceremonial casket with cover and suspension chain,Appendix 4,63,available,1,true,true,true
1900.39.5,,Brass staff with the figure of a bird,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.33 as RO/16,confirmed_1897,33,1900.39.5.png,Brass staff with the figure of a bird,Appendix 4,64,available,1,true,true,true
1900.39.6,,Bronze hip-ornament mask,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.32 as B8/72; reproduced in Mowat 1991 on p. 14 as figure 7,confirmed_1897,33,1900.39.6.png,Bronze hip-ornament mask,Appendix 4,65,available,1,true,true,true
1900.39.7,,Bronze hip-ornament mask depicting a ram’s head,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Publication note partially cropped in screenshot,confirmed_1897,33,1900.39.7.png,Bronze hip-ornament mask depicting a ram's head,Appendix 4,66,available,1,true,true,true
1900.39.8,,Bronze hip-ornament mask depicting a crocodile’s head,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.32 as B8/71 and reproduced as figure 49,confirmed_1897,34,1900.39.8_1.png,Bronze hip-ornament mask depicting a crocodile's head,Appendix 4,67,available,1,true,true,true
1900.39.9,,Bronze hip-ornament mask depicting a crocodile’s head,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.28 as B5/56,confirmed_1897,34,1900.39.9.png,Bronze hip-ornament mask depicting a crocodile's head,Appendix 4,68,available,1,true,true,true
1900.39.10,,Bronze bell,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.32 as B9/7,confirmed_1897,34,1900.39.10_1.png,Bronze bell,Appendix 4,69,available,1,true,true,true
1900.39.11,,Bronze bell,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Listed in Dark 1982 on p. 2.1.134 as B9/30 (recorded as ""Hunter-style"")",confirmed_1897,34,,,,,,0,true,false,false
1900.39.12,,Bronze armlet with open-work decoration,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p. 33 as figure 45; listed in Dark 1982 on p. 2.1.32 as B9/2,confirmed_1897,34,,,,,,0,true,false,false
1900.39.13,,Bronze armlet with open-work decoration,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p. 33 as figure 46; listed in Dark 1982 on p. 2.1.32 as B9/1,confirmed_1897,34,,,,,,0,true,false,false
1900.39.14,,Copper armlet with bronze decoration depicting two faces,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in von Luschan 1919 on p. 407 as figure 628; Dark 1982 citation partially cropped in screenshot,confirmed_1897,34,,,,,,0,true,false,false
1900.39.15,,Bronze penannular leg-ring or armlet,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p.28 as figure 21; Listed in Dark 1982 on p. 2.1.33 as B9/69,confirmed_1897,35,,,,,,0,true,false,false
1900.39.16,,Copper armlet,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p.30 as figure 31; Listed in Dark 1982 on p. 2.1.32 as B9/39,confirmed_1897,35,,,,,,0,true,false,false
1900.39.17,,Iron armlet,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p.29 as figure 27; Listed in Dark 1982 on p. 2.1.33 as B9/44,confirmed_1897,35,,,,,,0,true,false,false
1900.39.18,,Bronze cone-shaped object,possibly a hip-ornament,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,listed in dark 1982 on p. 2.1.33 as b9/55,confirmed_1897,,,,,,0,true,false,false
1900.39.19,,Ivory armlet,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.33 as B9/69,confirmed_1897,35,,,,,,0,true,false,false
1900.39.20,,Ivory hip-ornament mask depicting a leopard,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Reproduced in Ling-Roth 1903 on p.198 as figure 215; Listed in Dark 1982 on p. 2.1.32 as B8/77,confirmed_1897,35,,,,,,0,true,false,false
1900.39.21,,Ivory door-bolt from the Royal Palace,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Listed in Dark 1982 on p. 2.1.32 as B9/13; Reproduced in Plankensteiner 2007 on page 290 as Cat 21, with a descriptive text by Joseph Nevadomsky",confirmed_1897,35,1900.39.21.png,Ivory door-bolt from the Royal Palace,Appendix 4,80,available,1,true,true,true
1900.39.22,,Brass ceremonial fan with repoussé decoration,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.32 as B9/11,confirmed_1897,36,1900.39.22_1.png,Brass ceremonial fan with repoussé decoration,Appendix 4,81,available,1,true,true,true
1900.39.23,,Wooden lidded bowl or casket overlaid with brass,in the form of an animal’s head,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,reproduced in ling-roth 1903 on p.213 as figure 243; listed in dark 1982 on p. 2.1.32 as b8/75,confirmed_1897,1900.39.23.png,"Wooden lidded bowl or casket overlaid with brass, in the form of an animal's head",Appendix 4,82,available,1,true,true,true
1900.39.24,,Wooden figure of a horse-rider,probably broken from a staff,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,reproduced in ling-roth 1903 on p.213 as figure 242; listed in dark 1982 on p. 2.1.23 as b1/70,confirmed_1897,1900.39.24.png,"Wooden figure of a horse-rider, probably broken from a staff",Appendix 4,83,available,1,true,true,true
1900.39.25,,Carved coconut vessel with incised guilloché decoration,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Reproduced in Dark 1973, figure 200, plate 79; and discussed on p. 109",confirmed_1897,36,,,,,,0,true,false,false
1900.39.26,,Carved coconut vessel with incised guilloché decoration,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,"Reproduced in Dark 1973, figure 200, plate 79; and discussed on p. 109",confirmed_1897,36,1900.39.26.png,Carved coconut vessel with incised guilloché decoration,Appendix 4,85,available,1,true,true,true
1900.39.27.1,,Iron armlet containing jingling pellets,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.33 as RO/13,confirmed_1897,36,1900.39.27.1.png,Iron armlets containing jingling pellets,Appendix 4,86,available,1,true,true,true
1900.39.27.2,,Iron armlet containing jingling pellets,Mary Henrietta Kingsley,"Bequeathed to the Pitt Rivers Museum by Mary Henrietta Kingsley (1862-1900), who recorded it was taken in the 1897 attack. See discussion in Section 2.3",2.3,Listed in Dark 1982 on p. 2.1.33 as RO/14,confirmed_1897,37,1900.39.27.1.png,Iron armlets containing jingling pellets,Appendix 4,86,available,1,true,true,true
1900.74.1,,Brass vessel,George Fabian Lawrence,Purchased by the Pitt Rivers Museum from George Fabian Lawrence in 1900. See discussion in Section 2.10,2.10,Listed in Dark 1982 on p. 2.1.33 as B9/52,confirmed_1897,37,1900.74.1.png,Brass vessel,Appendix 4,87,available,1,true,true,true
1900.74.2,,Brass armlet with openwork decoration,George Fabian Lawrence,Purchased by the Pitt Rivers Museum from George Fabian Lawrence in 1900. See discussion in Section 2.10,2.10,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1900.74.2.png,Brass armlet with openwork decoration,Appendix 4,88,available,1,true,true,true
1900.74.3,,Bronze bracelet,George Fabian Lawrence,Purchased by the Pitt Rivers Museum from George Fabian Lawrence in 1900. See discussion in Section 2.10,2.10,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1900.74.3.png,Bronze bracelet,Appendix 4,89,available,1,true,true,true
1901.53.2,,Bronze arm-ring,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1901.53.2.png,Bronze arm-ring,Appendix 4,90,available,1,true,true,true
1901.53.3,,Bronze arm-ring,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1901.53.3.png,Bronze arm-ring,Appendix 4,91,available,1,true,true,true
1901.53.4,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1901.53.4.png,Bronze pellet bell,Appendix 4,92,available,1,true,true,true
1901.53.5,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,,Bronze pellet bell,Appendix 4,92,no_image,1,true,false,true
1901.53.6,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,37,1901.53.6.png,Bronze pellet bell,Appendix 4,93,available,1,true,true,true
1901.53.7,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,38,,,,,,0,true,false,false
1901.53.8,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,38,,,,,,0,true,false,false
1901.53.9,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,38,,,,,,0,true,false,false
1901.53.10,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,38,,,,,,0,true,false,false
1901.53.11,,Bronze pellet bell,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 by George Fabian Lawrence for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.34 as RO/34-RO/39,confirmed_1897,38,,,,,,0,true,false,false
1901.54.1,,Ground stone axe mounted in bronze,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.33 as B9/51,confirmed_1897,38,1901.54.1.png,Ground stone axe mounted in bronze,Appendix 4,96,available,1,true,true,true
1901.54.2,,Bronze weight,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.33 as B9/57,confirmed_1897,38,1901.54.2.png,Bronze weight,Appendix 4,97,available,1,true,true,true
1901.56.1,,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 for the Pitt Rivers Museum (Lot 130). See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.33 as B9/67,confirmed_1897,38,1901.56.1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,98,available,1,true,true,true
1901.56.2,,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 12 1901 for the Pitt Rivers Museum (Lot 130). See discussion in Section 2.4,2.4,Listed in Dark 1982 on p. 2.1.33 as B9/72,confirmed_1897,38,1901.56.2.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,99,available,1,true,true,true
1902.52.1,,Wooden crossbow stock,E.F. Martin,"Donation received by the Pitt Rivers Museum in 1902 from E.F. Martin. Recorded as from Oboru-Kitty, circa 14 miles from the Niger River, 30-40 miles east of Benin City. See discussion in Section 3.3",3.3,Summary table lists accession under objects possibly taken during the Benin Punitive Expedition,possible_1897,26,1902.52.1_1.png,Wooden crossbow stock,Appendix 5,179,available,1,true,true,true
1907.66.1,,Brass plaque with relief decoration depicting three human figures,Thomas Francis Embury,"Purchased by the Pitt Rivers Museum from “F. Embury” in 1907. Recorded as having been “hidden away from our soldiers after the capture of Benin on the punitive expedition of 1897, and brought to Lagos by a native trading woman from whom it was obtained by Mr Embury”. See discussion in Section 2.16",2.16,"Listed in Dark 1982 on p. 2.1.31 as B8/60; Listed in Gunsch 2018, p. 227 and reproduced in Figure 6.61 as 2A",confirmed_1897,39,1907.66.1_1.png,Brass plaque with relief decoration depicting three human figures,Appendix 4,100,available,1,true,true,true
1908.41.1,,Brass plaque with relief decoration depicting fish,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1908 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,"Listed in Dark 1982 on p. 2.1.32 as B8/63; Listed in Gunsch 2018, p. 227",confirmed_1897,39,,,,,,0,true,false,false
1908.41.2,,Brass plaque with relief decoration depicting fish,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1908 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,"Listed in Dark 1982 on p. 2.1.32 as B8/64; Listed in Gunsch 2018, p. 227",confirmed_1897,39,,,,,,0,true,false,false
1908.41.3,,Brass plaque with relief decoration depicting a serpent,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1908 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,"Listed in Dark 1982 on p. 2.1.31 as B8/61; Listed in Gunsch 2018, p. 227",confirmed_1897,39,1908.41.3.png,Brass plaque with relief decoration depicting a serpent,Appendix 4,102,available,1,true,true,true
1908.41.4,,Brass plaque with relief decoration depicting a crocodile’s head,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1908 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,"Listed in Dark 1982 on p. 2.1.32 as B8/65; Listed in Gunsch 2018, p. 227",confirmed_1897,39,,,,,,0,true,false,false
1908.65.1,,Brass plaque with relief decoration depicting a leopard skin,Stevens Auction Rooms,Purchased at Stevens Auction Rooms on Feb 8 1908 for the Pitt Rivers Museum. See discussion in Section 2.4,2.4,"Listed in Dark 1982 on p. 2.1.32 as B8/66; Listed in Gunsch 2018, p. 227",confirmed_1897,39,1908.65.1.png,Brass plaque with relief decoration depicting a leopard skin,Appendix 4,103,available,1,true,true,true
1909.1.1,,Ivory mount from a ceremonial staff depicting a horse-man,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1909 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,Listed in Dark 1982 on p. 2.1.32 as B8/76,confirmed_1897,40,1909.1.1_1.png,Ivory tusk pendant carved with representation of standing figure of an oba,Appendix 4,104,available,1,true,true,true
1909.1.2,,Bronze staff with double human figures at either end,recorded by Phil Dark as “a wand for the Oba’s messenger”,Henry Nilus Thompson,Donated to the Pitt Rivers Museum in December 1909 by Henry Nilus Thompson. See discussion in Section 2.8,2.8,listed in dark 1982 on p. 2.1.32 as b9/14,confirmed_1897,1909.1.2.png,Bronze staff,Appendix 4,105,available,1,true,true,true
1909.11.1.1,,Wooden box,Colonel Frederick William Bainbridge Landon,Donated to the Pitt Rivers Museum by Mrs H.K. Eden in 1909. Recorded by her as having been looted by Colonel Frederick William Bainbridge Landon in the 1897 attack. See discussion in Section 2.12,2.12,Listed in Dark 1982 on p. 2.1.33 as RO/9,confirmed_1897,40,1909.11.1.1_1.png,Wooden box lid,Appendix 4,106,available,1,true,true,true
1909.11.1.2,,Wooden lid with carved decoration,Colonel Frederick William Bainbridge Landon,Donated to the Pitt Rivers Museum by Mrs H.K. Eden in 1909. Recorded by her as having been looted by Colonel Frederick William Bainbridge Landon in the 1897 attack. See discussion in Section 2.12,2.12,Listed in Dark 1982 on p. 2.1.33 as RO/9,confirmed_1897,40,1909.11.1.1_1.png,Wooden box lid,Appendix 4,106,available,1,true,true,true
1909.61.1,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.33 as B9/49,confirmed_1897,40,1909.61.1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,107,available,1,true,true,true
1909.61.2,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,40,1909.61.2.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,108,available,1,true,true,true
1909.61.3,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,40,1909.61.3.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,109,available,1,true,true,true
